stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
DAV;186401;-;-;-;-;-;-;-11.6;-;-;-
DAV;186402;-;-;-;-;-;-;-7.6;-;-;-
DAV;186403;-;-;-;-;-;-;-3.4;-;-;-
DAV;186404;-;-;-;-;-;-;-1.1;-;-;-
DAV;186405;-;-;-;-;-;-;5.4;-;-;-
DAV;186406;-;-;-;-;-;-;8.2;-;-;-
DAV;186407;-;-;-;-;-;-;10.5;-;-;-
DAV;186408;-;-;-;-;-;-;8.9;-;-;-
DAV;186409;-;-;-;-;-;-;6.5;-;-;-
DAV;186410;-;-;-;-;-;-;1.8;-;-;-
DAV;186411;-;-;-;-;-;-;-2.5;-;-;-
DAV;186412;-;-;-;-;-;-;-7.5;-;-;-
DAV;186501;-;-;-;-;-;-;-7.5;-;-;-
DAV;186502;-;-;-;-;-;-;-9.5;-;-;-
DAV;186503;-;-;-;-;-;-;-8.1;-;-;-
DAV;186504;-;-;-;-;-;-;3.3;-;-;-
DAV;186505;-;-;-;-;-;-;7.7;-;-;-
DAV;186506;-;-;-;-;-;-;9.0;-;-;-
DAV;186507;-;-;-;-;-;-;12.3;-;-;-
DAV;186508;-;-;-;-;-;-;9.6;-;-;-
DAV;186509;-;-;-;-;-;-;9.3;-;-;-
DAV;186510;-;-;-;-;-;-;3.2;-;-;-
DAV;186511;-;-;-;-;-;-;-1.7;-;-;-
DAV;186512;-;-;-;-;-;-;-6.9;-;-;-
DAV;186601;-;-;-;-;-;-;-5.4;-;-;-
DAV;186602;-;-;-;-;-;-;-3.5;-;-;-
DAV;186603;-;-;-;-;-;-;-3.4;-;-;-
DAV;186604;-;-;-;-;-;-;1.4;-;-;-
DAV;186605;-;-;-;-;-;-;3.2;-;-;-
DAV;186606;-;-;-;-;-;-;10.1;-;-;-
DAV;186607;-;-;-;-;-;-;10.7;-;-;-
DAV;186608;-;-;-;-;-;-;8.8;-;-;-
DAV;186609;-;-;-;-;-;-;8.0;-;-;-
DAV;186610;-;-;-;-;-;-;3.4;-;-;-
DAV;186611;-;-;-;-;-;-;-2.9;-;-;-
DAV;186612;-;-;-;-;112.2;-;-4.7;-;-;-
DAV;186701;-;-;-;823.7;123.2;-;-6.5;-;-;-
DAV;186702;-;-;-;837.9;54.4;-;-2.4;-;-;-
DAV;186703;-;-;-;824.0;34.2;-;-1.9;-;-;-
DAV;186704;-;-;-;830.2;119.9;-;1.4;-;-;-
DAV;186705;-;-;-;832.4;91.4;-;6.2;-;-;-
DAV;186706;-;-;-;835.8;65.6;-;9.6;-;-;-
DAV;186707;-;-;-;835.2;46.0;-;10.1;-;-;-
DAV;186708;-;-;-;836.9;70.0;-;11.7;-;-;-
DAV;186709;-;-;-;837.9;80.5;-;9.1;-;-;-
DAV;186710;-;-;-;833.1;118.9;-;1.4;-;-;-
DAV;186711;-;-;-;836.2;34.4;-;-3.9;-;-;-
DAV;186712;-;-;-;826.3;143.3;-;-8.9;-;-;-
DAV;186801;-;-;-;827.5;31.9;-;-8.5;-;-;-
DAV;186802;-;-;-;837.6;15.6;-;-5.2;-;-;-
DAV;186803;-;-;-;830.3;124.1;-;-5.0;-;-;-
DAV;186804;-;-;-;830.8;147.5;-;-0.1;-;-;-
DAV;186805;-;-;-;837.3;18.6;-;9.0;-;-;-
DAV;186806;-;-;-;837.8;111.7;-;10.6;-;-;-
DAV;186807;-;-;-;836.3;127.7;-;11.1;-;-;-
DAV;186808;-;-;-;838.1;107.8;-;11.2;-;-;-
DAV;186809;-;-;-;837.1;103.8;-;9.2;-;-;-
DAV;186810;-;-;-;834.7;123.9;-;3.7;-;-;-
DAV;186811;-;-;-;831.3;22.8;-;-4.4;-;-;-
DAV;186812;-;-;-;832.1;85.9;-;-1.8;-;-;-
DAV;186901;-;-;-;837.3;39.5;-;-9.1;-;-;-
DAV;186902;-;-;-;838.5;29.5;-;-1.1;-;-;-
DAV;186903;-;-;-;819.4;84.9;-;-6.3;-;-;-
DAV;186904;-;-;-;834.3;26.0;-;2.1;-;-;-
DAV;186905;-;-;-;832.9;55.3;-;8.9;-;-;-
DAV;186906;-;-;-;837.2;117.8;-;7.2;-;-;-
DAV;186907;-;-;-;842.0;61.5;-;13.8;-;-;-
DAV;186908;-;-;-;841.2;141.5;-;9.7;-;-;-
DAV;186909;-;-;-;840.3;65.9;-;9.3;-;-;-
DAV;186910;-;-;-;837.6;100.0;-;0.3;-;-;-
DAV;186911;-;-;-;835.0;82.3;-;-2.7;-;-;-
DAV;186912;-;-;-;830.6;36.3;-;-6.0;-;-;-
DAV;187001;-;-;-;834.3;24.8;-;-9.1;-;-;-
DAV;187002;-;-;-;829.6;17.9;-;-5.5;-;-;-
DAV;187003;-;-;-;830.4;47.7;-;-4.7;-;-;-
DAV;187004;-;-;-;839.5;32.8;-;0.1;-;-;-
DAV;187005;-;-;-;840.2;25.5;-;7.5;-;-;-
DAV;187006;-;-;-;840.7;56.9;-;10.1;-;-;-
DAV;187007;-;-;-;840.3;82.6;-;13.0;-;-;-
DAV;187008;-;-;-;835.4;138.7;-;8.9;-;-;-
DAV;187009;-;-;-;841.5;46.6;-;6.7;-;-;-
DAV;187010;-;-;-;834.1;114.1;-;2.0;-;-;-
DAV;187011;-;-;-;831.2;72.3;-;-1.7;-;-;-
DAV;187012;-;-;-;825.3;54.2;-;-8.5;-;-;-
DAV;187101;-;-;-;826.8;41.7;-;-10.1;-;-;-
DAV;187102;-;-;-;838.0;29.5;-;-5.6;-;-;-
DAV;187103;-;-;-;835.7;13.7;-;-1.9;-;-;-
DAV;187104;-;-;-;831.8;109.2;-;1.8;-;-;-
DAV;187105;-;-;-;834.3;44.8;-;5.5;-;-;-
DAV;187106;-;-;-;832.9;106.8;-;6.2;-;-;-
DAV;187107;-;-;-;838.7;180.4;-;11.8;-;-;-
DAV;187108;-;-;-;840.0;105.1;-;11.6;-;-;-
DAV;187109;-;-;-;836.4;44.9;-;10.3;-;-;-
DAV;187110;-;-;-;834.3;25.4;-;1.7;-;-;-
DAV;187111;-;-;-;826.9;26.8;-;-4.0;-;-;-
DAV;187112;-;-;-;-;-;-;-11.7;-;-;-
DAV;187201;-;-;-;-;-;-;-6.2;-;-;-
DAV;187202;-;-;-;-;-;-;-4.7;-;-;-
DAV;187203;-;-;-;-;-;-;-1.8;-;-;-
DAV;187204;-;-;-;-;-;-;2.2;-;-;-
DAV;187205;-;-;-;-;-;-;5.1;-;-;-
DAV;187206;-;-;-;-;-;-;9.4;-;-;-
DAV;187207;-;-;-;-;-;-;12.5;-;-;-
DAV;187208;-;-;-;-;-;-;9.7;-;-;-
DAV;187209;-;-;-;-;-;-;9.1;-;-;-
DAV;187210;-;-;-;-;-;-;4.4;-;-;-
DAV;187211;-;-;-;-;-;-;0.0;-;-;-
DAV;187212;-;-;-;-;-;-;-3.4;-;-;-
DAV;187301;-;-;-;-;-;-;-5.6;-;-;-
DAV;187302;-;-;-;-;-;-;-6.1;-;-;-
DAV;187303;-;-;-;-;-;-;-0.1;-;-;-
DAV;187304;-;-;-;-;-;-;0.4;-;-;-
DAV;187305;-;-;-;-;-;-;4.3;-;-;-
DAV;187306;-;-;-;-;-;-;10.0;-;-;-
DAV;187307;-;-;-;839.5;134.6;-;14.0;-;-;-
DAV;187308;-;-;-;839.1;150.6;-;12.5;-;-;-
DAV;187309;-;-;-;836.2;129.9;-;7.4;-;-;-
DAV;187310;-;-;-;832.9;63.0;-;4.4;-;-;-
DAV;187311;-;-;-;830.0;111.5;-;-1.3;-;-;-
DAV;187312;-;-;-;838.5;50.5;-;-7.7;-;-;-
DAV;187401;-;-;-;836.4;57.5;-;-7.1;-;-;-
DAV;187402;-;-;-;832.0;22.0;-;-7.9;-;-;-
DAV;187403;-;-;-;835.9;21.5;-;-4.0;-;-;-
DAV;187404;-;-;-;829.5;45.2;-;3.5;-;-;-
DAV;187405;-;-;-;827.0;51.0;-;4.0;-;-;-
DAV;187406;-;-;-;835.4;105.9;-;11.1;-;-;-
DAV;187407;-;-;-;834.6;116.9;-;14.9;-;-;-
DAV;187408;-;-;-;832.4;70.4;-;10.5;-;-;-
DAV;187409;-;-;-;834.7;21.5;-;10.3;-;-;-
DAV;187410;-;-;-;832.4;14.0;-;4.9;-;-;-
DAV;187411;-;-;-;825.2;250.0;-;-5.0;-;-;-
DAV;187412;-;-;-;817.6;34.0;-;-8.6;-;-;-
DAV;187501;-;-;-;830.7;114.3;-;-5.4;-;-;-
DAV;187502;-;-;-;822.1;87.4;-;-8.4;-;-;-
DAV;187503;-;-;-;-;-;-;-3.8;-;-;-
DAV;187504;-;-;-;-;-;-;1.0;-;-;-
DAV;187505;-;-;-;-;-;-;9.0;-;-;-
DAV;187506;-;-;-;-;-;-;11.0;-;-;-
DAV;187507;-;-;-;-;-;-;11.5;-;-;-
DAV;187508;-;-;-;-;-;-;13.0;-;-;-
DAV;187509;-;-;-;-;-;-;9.0;-;-;-
DAV;187510;-;-;-;-;-;-;3.0;-;-;-
DAV;187511;-;-;-;-;-;-;-2.8;-;-;-
DAV;187512;-;-;-;-;-;-;-7.5;-;-;-
DAV;187601;-;-;-;844.6;93.6;-;-7.2;-;-;-
DAV;187602;-;-;-;837.0;151.8;-;-4.9;-;-;-
DAV;187603;-;-;-;831.5;133.6;-;-1.8;-;-;-
DAV;187604;-;-;-;837.8;126.0;-;3.1;-;-;-
DAV;187605;-;-;-;840.0;58.2;-;4.0;-6.0;19.0;-
DAV;187606;-;-;-;842.7;116.1;-;10.3;1.0;22.0;-
DAV;187607;-;-;-;847.6;50.2;-;12.7;1.2;30.0;-
DAV;187608;-;-;-;845.4;98.0;-;12.0;1.0;26.3;-
DAV;187609;-;-;-;841.6;65.4;-;7.0;-5.0;24.0;-
DAV;187610;-;-;-;843.1;17.8;-;5.5;-6.1;21.0;-
DAV;187611;-;-;-;838.0;48.4;-;-3.1;-20.2;9.0;-
DAV;187612;-;-;-;833.4;68.2;-;-3.0;-19.0;12.0;-
DAV;187701;-;-;-;841.4;58.0;-;-4.5;-16.5;8.1;-
DAV;187702;-;-;-;838.6;157.4;-;-3.9;-18.8;6.2;-
DAV;187703;-;-;-;831.9;93.7;-;-4.2;-21.7;12.0;-
DAV;187704;-;-;-;833.9;87.1;-;1.1;-6.7;12.0;-
DAV;187705;-;-;-;837.9;90.3;-;4.6;-6.6;16.5;-
DAV;187706;-;-;-;847.3;123.2;-;12.9;3.0;25.0;-
DAV;187707;-;-;-;846.0;215.2;-;10.8;3.5;23.3;-
DAV;187708;-;-;-;846.0;101.6;-;13.0;2.0;25.3;-
DAV;187709;-;-;-;843.2;18.4;-;6.2;-4.7;18.7;-
DAV;187710;-;-;-;843.5;35.7;-;1.3;-10.5;16.7;-
DAV;187711;-;-;-;839.0;78.8;-;-0.6;-14.5;10.5;-
DAV;187712;-;-;-;839.6;91.8;-;-6.9;-19.6;3.9;-
DAV;187801;-;-;-;840.8;101.8;-;-9.4;-26.3;5.3;-
DAV;187802;-;-;-;847.6;15.0;-;-4.7;-20.5;6.5;-
DAV;187803;-;-;-;838.0;171.5;-;-4.6;-24.0;9.1;-
DAV;187804;-;-;-;837.2;69.2;-;1.8;-11.0;13.0;-
DAV;187805;-;-;-;841.0;105.7;-;7.2;-1.0;21.3;-
DAV;187806;-;-;-;843.6;122.6;-;9.8;1.1;19.0;-
DAV;187807;-;-;-;844.8;159.3;-;11.0;1.2;25.0;-
DAV;187808;-;-;-;842.7;171.1;-;11.9;5.0;23.0;-
DAV;187809;-;-;-;844.4;162.5;-;8.4;-0.5;23.0;-
DAV;187810;-;-;-;841.0;69.5;-;4.3;-14.5;20.5;-
DAV;187811;-;-;-;834.3;97.1;-;-3.9;-18.1;7.5;-
DAV;187812;-;-;-;831.4;33.8;-;-8.6;-22.0;6.0;-
DAV;187901;-;-;-;837.8;25.5;-;-6.6;-22.0;7.5;-
DAV;187902;-;-;-;828.1;68.6;-;-4.7;-16.0;8.0;-
DAV;187903;-;-;-;839.4;24.8;-;-1.7;-;-;-
DAV;187904;-;-;-;830.7;71.6;-;0.7;-8.5;11.0;-
DAV;187905;-;-;-;838.6;82.2;-;3.9;-6.0;16.0;-
DAV;187906;-;-;-;844.2;85.4;-;10.7;-1.0;27.0;-
DAV;187907;-;-;-;842.9;169.7;-;9.3;-1.0;24.0;-
DAV;187908;-;-;-;845.7;123.3;-;13.5;3.0;27.0;-
DAV;187909;-;-;-;844.9;54.7;-;9.0;-2.0;24.0;-
DAV;187910;-;-;-;844.3;30.6;-;3.0;-10.0;19.0;-
DAV;187911;-;-;-;840.6;125.9;-;-5.2;-20.0;10.0;-
DAV;187912;-;-;-;845.1;30.9;-;-9.6;-;-;-
DAV;188001;-;-;-;846.9;19.4;-;-9.3;-;-;-
DAV;188002;-;-;-;840.3;33.7;-;-3.5;-;-;-
DAV;188003;-;-;-;844.3;41.7;-;0.0;-13.0;13.0;-
DAV;188004;-;-;-;837.5;50.7;-;3.9;-6.5;15.0;-
DAV;188005;-;-;-;840.2;63.6;-;6.8;-5.0;28.0;-
DAV;188006;-;-;-;842.0;176.1;-;9.3;0.0;24.0;-
DAV;188007;-;-;-;846.3;137.6;-;14.0;2.5;28.0;-
DAV;188008;-;-;-;843.0;169.5;-;10.9;-1.0;20.0;-
DAV;188009;-;-;-;846.2;126.5;-;8.9;-2.0;24.0;-
DAV;188010;-;-;-;841.0;150.2;-;5.0;-11.0;20.0;-
DAV;188011;-;-;-;842.3;71.7;-;0.2;-12.0;12.0;-
DAV;188012;-;-;-;842.7;122.8;-;-2.2;-13.0;9.0;-
DAV;188101;-;-;-;835.0;15.1;-;-9.0;-26.0;6.0;-
DAV;188102;-;-;-;838.5;51.0;-;-3.6;-22.0;8.0;-
DAV;188103;-;-;-;841.3;65.1;-;-0.2;-18.0;15.0;-
DAV;188104;-;-;-;838.7;55.1;-;3.1;-7.0;14.0;-
DAV;188105;-;-;-;845.4;73.9;-;7.2;-5.0;22.0;-
DAV;188106;-;-;-;845.7;39.5;-;10.1;-2.0;26.0;-
DAV;188107;-;-;-;851.0;116.1;-;15.0;0.0;30.0;-
DAV;188108;-;-;-;847.2;137.5;-;12.9;0.0;27.0;-
DAV;188109;-;-;-;845.1;150.7;-;7.3;-4.0;22.0;-
DAV;188110;-;-;-;839.8;58.5;-;1.5;-10.0;15.0;-
DAV;188111;-;-;-;849.2;22.3;-;1.9;-11.0;15.0;-
DAV;188112;-;-;-;844.3;26.7;-;-4.1;-24.0;7.0;-
DAV;188201;-;-;-;854.0;5.0;-;-3.7;-16.0;8.0;-
DAV;188202;-;-;-;850.1;12.8;-;-3.7;-16.5;11.0;-
DAV;188203;-;-;-;845.1;26.5;-;0.6;-11.0;16.0;-
DAV;188204;-;-;-;839.5;36.8;-;3.2;-;20.0;-
DAV;188205;-;-;-;845.4;37.6;-;8.6;-;-;-
DAV;188206;-;-;-;843.9;173.2;-;10.2;-;-;-
DAV;188207;-;-;-;846.0;114.0;-;11.7;-;-;-
DAV;188208;-;-;-;846.0;193.3;-;9.9;-;-;-
DAV;188209;-;-;-;841.4;171.6;-;7.9;-;-;-
DAV;188210;-;-;-;842.7;133.2;-;4.9;-;-;-
DAV;188211;-;-;-;838.6;89.5;-;-1.3;-;-;-
DAV;188212;-;-;-;836.7;169.5;-;-4.1;-;-;-
DAV;188301;-;-;-;841.4;15.8;-;-5.1;-;-;-
DAV;188302;-;-;-;847.9;11.3;-;-2.7;-;-;-
DAV;188303;-;-;-;833.0;21.2;-;-5.3;-;-;-
DAV;188304;-;-;-;839.9;12.6;-;1.5;-;-;-
DAV;188305;-;-;-;842.7;52.3;-;7.1;-;-;-
DAV;188306;-;-;-;845.0;128.7;-;10.1;-;-;-
DAV;188307;-;-;-;846.2;163.0;-;11.3;-;-;-
DAV;188308;-;-;-;849.1;71.0;-;11.6;-;-;-
DAV;188309;-;-;-;844.8;171.8;-;8.3;-;-;-
DAV;188310;-;-;-;845.7;43.5;-;2.5;-;-;-
DAV;188311;-;-;-;843.1;36.6;-;-1.6;-;-;-
DAV;188312;-;-;-;842.9;114.4;-;-6.1;-;-;-
DAV;188401;-;-;-;848.7;55.1;-;-4.6;-;-;-
DAV;188402;-;-;-;844.0;22.5;-;-3.3;-;-;-
DAV;188403;-;-;-;841.5;5.3;-;-0.8;-;-;-
DAV;188404;-;-;-;834.6;21.9;-;3.0;-;-;-
DAV;188405;-;-;-;846.3;47.9;-;9.0;-;-;-
DAV;188406;-;-;-;843.4;79.2;-;7.7;-;-;-
DAV;188407;-;-;-;849.0;152.4;-;13.3;-;-;-
DAV;188408;-;-;-;848.5;97.3;-;12.6;-;-;-
DAV;188409;-;-;-;849.1;33.8;12096;9.3;-;-;-
DAV;188410;-;-;-;845.4;27.6;6198;2.6;-;-;-
DAV;188411;-;-;-;845.5;10.9;7716;-2.8;-;-;-
DAV;188412;-;-;-;840.3;36.3;3996;-4.6;-;-;-
DAV;188501;-;-;-;839.7;3.5;8292;-7.8;-;-;-
